instance_id,event_id,is_cc,nu_pdg,nu_flavour,nu_energy_truth,nu_dir_truth_x,nu_dir_truth_y,nu_dir_truth_z,zenith_truth_deg,L_truth_km,nu_energy_reco,nu_dir_reco_x,nu_dir_reco_y,nu_dir_reco_z,zenith_reco_deg,L_reco_km,n_primaries,n_total_particles,n_primary_leptons,n_primary_protons,n_primary_pions,n_primary_photons,n_primary_other,leading_lepton_pdg,leading_lepton_energy,n_points_raw,n_points_filtered,direction_recon_ok,is_ccqe_topology,is_ccqe_reconstructed,n_hits,n_hits_w,n_hits_v,n_hits_u,total_adc,mean_adc,max_adc,drift_range,drift_std,channel_range_w,channel_range_v,channel_range_u,hit_density
0,0,True,12,nue,1.015237808227539,0.892785711527761,0.22571912460685217,-0.3898519591826954,103.0451688692954,2946.8563589422565,0.7093954104632314,0.9884064313046272,-0.12008236724004673,-0.0929136783992416,83.1031437512293,127.0342713100465,2,4,1,1,0,0,0,11.0,0.6806228160858154,96,68,True,True,True,102,34,45,23,39874.3984375,390.92547607421875,3613.386474609375,84.57830810546875,7.05544900894165,14.848999977111816,20.068099975585938,5.133697509765625,1.205982979380558
1,1,True,12,nue,0.476506769657135,-0.7751400166597839,-0.6132621556556419,0.15187983083103918,52.17424632648133,26.84787965423675,0.5954506386502542,-0.7391585504756402,-0.6704522292938089,0.06433075076285397,47.89802232510819,24.57144056310335,3,4,1,2,0,0,0,11.0,0.3209570050239563,596,456,False,False,False,501,137,181,183,112285.453125,224.12266540527344,1790.3016357421875,120.873046875,28.139183044433594,113.1190185546875,92.873291015625,119.15811157226562,4.144844636191769
2,2,False,-16,nutau,3.7157363891601562,-0.01650526969474638,0.9862350559021317,-0.16452352592265598,170.48246926126006,12580.37806117192,67.470079001347,0.005630305581233118,0.9999838222396877,0.0008092700206391579,179.67409020426413,12755.294177759024,125,128,0,7,0,111,7,,,2920,2613,False,False,False,1689,496,586,607,378186.625,223.91156005859375,3386.241943359375,385.1064453125,57.69786071777344,1068.948974609375,806.198974609375,1211.134765625,4.385800395081514
3,3,True,12,nue,0.8216918110847473,-0.3429814857593033,0.6398941007524059,-0.6876766974739006,129.78392331285704,8177.348601169442,0.5266767514078543,-0.39549424860112903,0.1800590262851652,-0.9006459051018144,100.37319793741695,2382.1240718610215,7,31,1,2,0,4,0,11.0,0.6546682715415955,1315,1123,True,False,False,847,236,270,341,199139.96875,235.11212158203125,2360.91650390625,164.42247009277344,38.9915885925293,55.563995361328125,76.07211303710938,67.67150115966797,5.151364041192729
4,4,False,16,nutau,1.0864750146865845,-0.28423400865473847,0.29072033009865317,0.9136151914188974,106.90108605055124,3759.4691228945276,0.9681392364792073,0.0008849349120403419,-0.999994802121408,0.0031004226110948273,0.1847357227526594,16.500085543842033,8,30,0,2,1,4,1,,,290,227,False,False,False,221,72,81,68,35338.3984375,159.90225219726562,982.1484985351562,217.994140625,72.03471374511719,472.4440002441406,559.722900390625,286.23675537109375,1.013788716368165
5,5,False,-14,numu,1.4309773445129395,0.7959129047739449,-0.43534855047028487,-0.42070689038536446,64.19252524255535,37.693566352719245,0.0023269306402653456,-0.1991749638570437,-0.22501462076594922,-0.9537807684232795,76.9962620822761,71.63341342866784,1,2,0,0,0,1,0,,,327,263,True,False,False,303,88,90,125,79263.1953125,261.5946960449219,2577.788330078125,248.11810302734375,45.42369079589844,145.13699340820312,135.8096923828125,133.94290161132812,1.2211926348905224
6,6,False,14,numu,0.6555249094963074,0.4771702177614257,-0.5611883116192552,-0.6762959871117404,55.86198269483392,29.319730218990117,0.20443184229016462,0.0,1.0,-5.55012891261287e-16,180.0,12755.5,2,3,0,1,0,1,0,,,27,18,False,False,False,19,4,6,9,5318.6826171875,279.9306640625,783.7374267578125,215.0089874267578,99.71100616455078,49.8909912109375,28.70947265625,374.29345703125,0.08836839904877136
7,7,False,12,nue,1.8129194974899292,-0.7689375117139995,0.24080442336212382,0.5922400972311129,103.93402293187918,3134.747174289338,0.38878663320233736,-0.028000361560856172,0.8847755328404983,0.4651754897232589,152.22391094345173,11289.797631772079,24,25,0,2,0,20,2,,,237,188,False,False,False,144,50,50,44,33424.5546875,232.11495971679688,2893.75537109375,412.50042724609375,137.37168884277344,515.074951171875,271.9186096191406,704.4808959960938,0.34909054752103563
8,8,True,14,numu,0.5442562103271484,-0.8118024144078851,0.5392710007734912,-0.2239723815256823,122.63402648939454,6900.2743487188,35.814904711428206,-0.0008587557446572827,-0.9999559428987413,-0.009347448853030049,0.5378326761928869,16.500725095736016,9,11,1,4,0,2,2,13.0,0.26699987053871155,205,164,False,False,False,303,76,102,125,103967.6171875,343.12744140625,1919.9775390625,59.182151794433594,17.239910125732422,233.34800720214844,202.69741821289062,177.49562072753906,5.119786807557389
9,9,False,14,numu,0.9259642362594604,0.5054236535459081,-0.7917671103518555,0.3430040428353264,37.64904129801978,20.82346267253797,0.25019606666789435,0.8533685882748047,0.5211913224715874,-0.011029865193403834,121.41219702780674,6671.005585966679,9,10,0,1,0,8,0,,,1259,1006,False,False,False,378,115,147,116,70573.1015625,186.70132446289062,1018.6529541015625,171.36192321777344,27.096071243286133,110.16998291015625,105.94091796875,131.60943603515625,2.2058575960286277
